Product_name,Product_Price,Company Product,Product_Warranty_Years,Product_Min_order,Product_Rating,Product_Raters,product_feedback,Product_Delivery_ResponseRate,Product_Sale,Product_Reviews,Product_Port,Prod_origin_place,polarity scores,polar_review,Predicted_Raters,Predicted_Reviews,Predicted_Rating,Product suppliers
  Digital Printer Dye Sublimation ,6300,Jinxian technology Co. Ltd.,1,1 Set,4.9,7,Customer service,72,0,15,guangzhou,Zhejiang China,0,Neutral,154,123,5,94.4
  Digital Printer Dye Sublimation ,6300,Jinxian technology Co. Ltd.,1,1 Set,4.9,7,Customer service,72,0,15,FOB Shenzhen,Guangdong China,0,Neutral,154,123,5,94.4
  Digital Printer Dye Sublimation ,6300,Xiair technology Co.Ltd,1,1 Set,4.9,7,Customer service,72,0,15,Shenzhen,Guangdong China,0,Neutral,138,123,5,94.4
  Digital Printer Dye Sublimation ,6300,Xiair technology Co.Ltd,1,1 Set,4.9,7,Customer service,72,0,15,Shenzhen,Guangdong China,0,Neutral,154,123,5,94.4
  Digital Printer Dye Sublimation ,6300,Jinxian technology Co. Ltd.,1,1 Set,4.9,7,Customer service,72,0,15,FOB Shenzhen,China,0,Neutral,145,125,4.8,94.4
 Network Ethernet Extender compatible with POE or Ethernet switches,135,Jinxian technology Co. Ltd.,2,500 Pieces,4.9,14,Perfect seller,96,0,15,Shenzhen guangzhou,Guangdong China,0.5719,Positive,154,123,5,94.9
 Network Ethernet Extender compatible with POE or Ethernet switches,135,Jinxian technology Co. Ltd.,2,500 Pieces,4.9,14,Perfect seller,96,0,15,FOB Shenzhen,Guangdong China,0.5719,Positive,95,131,3.8,94.9
 Network Ethernet Extender compatible with POE or Ethernet switches,135,Jinxian technology Co. Ltd.,2,500 Pieces,4.9,14,Perfect seller,96,0,15,xiamen,China,0.5719,Positive,138,125,5,94.9
 Network Ethernet Extender compatible with POE or Ethernet switches,135,Jinxian technology Co. Ltd.,2,500 Pieces,4.9,14,Perfect seller,96,0,15,Shenzhen or Hongkong,China,0.5719,Positive,0,130,3.8,94.9
 Network Ethernet Extender compatible with POE or Ethernet switches,135,Jinxian technology Co. Ltd.,2,500 Pieces,4.9,14,Perfect seller,96,0,15,Shenzhen,Zhejiang China,0.5719,Positive,104,129,4.1,94.9
 Network Ethernet Extender compatible with POE or Ethernet switches,135,Xiair technology Co.Ltd,2,500 Pieces,4.9,14,Perfect seller,96,0,15,shenzhen,Guangdong China,0.5719,Positive,154,123,5,94.9
mini metal usb flash drive ,135,Jinxian technology Co. Ltd.,8,20 Pieces,5,21,Great job,83,0,15,SHENZHEN,Guangdong China,0.6249,Positive,154,123,5,94.9
mini metal usb flash drive ,135,Xiair technology Co.Ltd,8,20 Pieces,5,21,Great job,83,0,15,FOB Shenzhen,Guangdong China,0.6249,Positive,103,174,5,94.9
mini metal usb flash drive ,135,Jinxian technology Co. Ltd.,8,20 Pieces,5,21,Great job,83,0,15,Guangzhoushenzhen(custom),Guangdong China,0.6249,Positive,92,129,3.8,94.9
mini metal usb flash drive ,135,Xiair technology Co.Ltd,8,20 Pieces,5,21,Great job,83,0,1,shenzhen china,Guangdong China,0.6249,Positive,154,123,5,94.9
mini metal usb flash drive ,135,Ningbo technology Co.Ltd,8,20 Pieces,5,21,Great job,83,0,1,guangzhou,Guangdong China,0.6249,Positive,138,125,5,94.9
mini metal usb flash drive ,135,Jinxian technology Co. Ltd.,8,20 Pieces,5,21,Great job,83,0,1,Shenzhen,China,0.6249,Positive,154,123,5,94.9
mini metal usb flash drive ,135,Jinxian technology Co. Ltd.,8,20 Pieces,5,21,Great job,83,0,1,xiamen,Guangdong China,0.6249,Positive,154,123,5,94.9
mini metal usb flash drive ,135,Jinxian technology Co. Ltd.,8,20 Pieces,5,21,Great job,83,0,1,shenzhen,Guangdong China,0.6249,Positive,216,148,4.4,94.9
mini metal usb flash drive ,135,Jinxian technology Co. Ltd.,8,20 Pieces,5,21,Great job,83,0,1,SHENZHEN,China,0.6249,Positive,103,151,4.5,94.9
 industrial tablet  windows 10 ,278,Jinxian technology Co. Ltd.,7,1 Piece,5,1,Good supplier,0,0,1,shenzhen,Guangdong China,0.4404,Positive,92,127,3.7,92.3
 Function Cables Magnetic  Charger,100,Xiair technology Co.Ltd,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,FOB Shenzhen,Guangdong China,0,Neutral,134,123,4.7,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,Shenzhen,Guangdong China,0,Neutral,103,126,4,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,guangzhou,Guangdong China,0,Neutral,220,142,5,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,Shenzhen,Guangdong China,0,Neutral,220,135,5,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,xiamen,Guangdong China,0,Neutral,154,123,5,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,FOB Shenzhen,China,0,Neutral,138,123,5,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,Shenzhen,Guangdong China,0,Neutral,154,123,5,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,FOB Shenzhen,Guangdong China,0,Neutral,0,128,3.7,97.9
 Function Cables Magnetic  Charger,100,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,411,Speedy delivery,92,0,1,Guangzhou,Guangdong China,0,Neutral,95,127,3.7,97.9
 Usb Flash Drive 16gb 32gb 64gb,696,Jinxian technology Co. Ltd.,6,100 Pieces,5,23,Quick delivery,0,0,1,ShenzhenHK,China,0,Neutral,0,129,3.7,96
UCABLE free shipping mobile  charger ,58,Jinxian technology Co. Ltd.,2,10 Pieces,4.6,449,Great service,0,80,1,xiamen,Guangdong China,0.6249,Positive,134,123,4.7,95.6
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,Shenzhen or Hongkong,China,0.4215,Positive,37,128,4.5,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,FOB Shenzhen,Zhejiang China,0.4215,Positive,216,148,4.4,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,Hongkong,Guangdong China,0.4215,Positive,130,125,4.7,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,FOB Shenzhen,Guangdong China,0.4215,Positive,103,174,5,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,shenzhen,Guangdong China,0.4215,Positive,154,123,5,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,Hongkong,Guangdong China,0.4215,Positive,138,124,4.6,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,Shenzhen,Guangdong China,0.4215,Positive,154,123,5,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Jinxian technology Co. Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,FOB Shenzhen,Zhejiang China,0.4215,Positive,90,128,3.7,81.8
 Fast Charging Type C USB Data Charging Cable for Android,132,Guangzhou technology Co.Ltd.,2,1 Piece,4.9,52,Efficient service,98,0,1,Guangzhou,Guangdong China,0.4215,Positive,127,127,4.6,81.8
 lte  call tablet with sim card,101,Jinxian technology Co. Ltd.,1,1 Set,3.9,42,Great job,0,0,1,ShenzhenHK,Guangdong China,0.6249,Positive,114,127,4.2,90.5
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,guangzhou,Guangdong China,0.4404,Positive,459,176,5,97
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,shenzhen,Guangdong China,0.4404,Positive,154,123,5,97
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,Hongkong,Guangdong China,0.4404,Positive,103,174,5,97
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,Guangzhou,Guangdong China,0.4404,Positive,93,128,3.7,97
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,Guangzhou Shenzhen Nansha,Guangdong China,0.4404,Positive,93,135,4.4,97
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,Shenzhen,Guangdong China,0.4404,Positive,127,127,4.6,97
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,Shenzhen,Guangdong China,0.4404,Positive,154,123,5,97
  Usb Flash Drive,100,Jinxian technology Co. Ltd.,3,50 Units,4.9,82,Good service,97,0,1,FOB Shenzhen,China,0.4404,Positive,132,130,4.6,97
  Usb Flash Drive,100,Xiair technology Co.Ltd,3,50 Units,4.9,82,Good service,97,0,1,Guangzhou,Guangdong China,0.4404,Positive,154,123,5,97
  Usb Flash Drive,100,Xiair technology Co.Ltd,3,50 Units,4.9,82,Good service,97,0,1,xiamen,Guangdong China,0.4404,Positive,37,128,4.5,97
HOLDEN Multi Functional  Charger USB Cable ,150,Jinxian technology Co. Ltd.,9,1000 Pieces,4.8,9,0,92,0,1,SHENZHEN,China,0,Neutral,82,128,3.6,91
HOLDEN Multi Functional  Charger USB Cable ,150,Jinxian technology Co. Ltd.,9,1000 Pieces,4.8,9,0,92,0,1,Shenzhen,Guangdong China,0,Neutral,154,123,5,91
HOLDEN Multi Functional  Charger USB Cable ,150,Jinxian technology Co. Ltd.,9,1000 Pieces,4.8,9,0,92,0,374,Shenzhen,Guangdong China,0,Neutral,101,128,3.9,91
HOLDEN Multi Functional  Charger USB Cable ,150,Jinxian technology Co. Ltd.,9,1000 Pieces,4.8,9,0,92,0,374,Shenzhen,China,0,Neutral,88,128,3.7,91
HOLDEN Multi Functional  Charger USB Cable ,150,Jinxian technology Co. Ltd.,9,1000 Pieces,4.8,9,0,92,0,374,shenzhen,Guangdong China,0,Neutral,154,122,5,91
HOLDEN Multi Functional  Charger USB Cable ,150,Jinxian technology Co. Ltd.,9,1000 Pieces,4.8,9,0,92,0,374,Hongkong,China,0,Neutral,132,130,4.6,91
HOLDEN Multi Functional  Charger USB Cable ,150,Xiair technology Co.Ltd,9,1000 Pieces,4.8,9,0,92,0,374,Hongkong,Guangdong China,0,Neutral,99,127,3.9,91
HOLDEN Multi Functional  Charger USB Cable ,150,Jinxian technology Co. Ltd.,9,1000 Pieces,4.8,9,0,92,0,374,FOB Shenzhen,Guangdong China,0,Neutral,8,129,3.9,91
Free Shipping FLOVEME 1M Magnetic Mobile  Cable for i Micro USB Type C Cable Magnetic Charger,28,Xiair technology Co.Ltd,9,3 Pieces,4.2,525,On time delivery,0,60,374,xiamen,Guangdong China,0,Neutral,117,126,4.7,90.2
white and black color free standing poe option battery rk3288 android tablet 10 inch android 8.1 for pos,115,Jinxian technology Co. Ltd.,1,2 Pieces,4.6,44,Good service,0,0,374,xiamen,Guangdong China,0.4404,Positive,125,128,4.4,95.6
Free Shipping TOPK AM23 1M LED Micro USB Type C Magnetic Charging USB Cable,99,Xiair technology Co.Ltd,2,3 Pieces,4.6,1246,Ship on time,0,68,374,shenzhen,China,0,Neutral,-7,128,3.6,96
16GB Credit Card USB Flash Drive,50,Ningbo technology Co.Ltd,6,50 Pieces,4.9,129,Arrived on time,83,0,374,xiamen,Guangdong China,0,Neutral,104,129,4.1,94.3
17GB Credit Card USB Flash Drive,50,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,129,Arrived on time,83,0,374,SHENZHEN,China,0,Neutral,154,123,5,94.3
18GB Credit Card USB Flash Drive,50,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,129,Arrived on time,83,0,374,Shenzhen,China,0,Neutral,130,125,4.8,94.3
19GB Credit Card USB Flash Drive,50,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,129,Arrived on time,83,0,374,Shenzhen,Guangdong China,0,Neutral,101,134,4.1,94.3
20GB Credit Card USB Flash Drive,50,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,129,Arrived on time,83,0,374,shenzhen,Guangdong China,0,Neutral,228,147,4.4,94.3
21GB Credit Card USB Flash Drive,50,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,129,Arrived on time,83,0,374,hongkong,Guangdong China,0,Neutral,134,123,4.7,94.3
22GB Credit Card USB Flash Drive,50,Xiair technology Co.Ltd,6,50 Pieces,4.9,129,Arrived on time,83,0,374,Shenzhen,Guangdong China,0,Neutral,154,123,5,94.3
23GB Credit Card USB Flash Drive,50,Jinxian technology Co. Ltd.,6,50 Pieces,4.9,129,Arrived on time,83,0,374,Shenzhen or Hongkong,Jiangxi China,0,Neutral,154,123,5,94.3
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,Shenzhen,Guangdong China,0.4404,Positive,127,128,4.6,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,guangzhou,China,0.4404,Positive,103,174,5,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,xiamen,Guangdong China,0.4404,Positive,123,127,4.3,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,xiamen,China,0.4404,Positive,114,128,4.3,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,SHANGHAI,Guangdong China,0.4404,Positive,121,126,4.4,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,SHANGHAI,Jiangxi China,0.4404,Positive,138,123,5,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,Hongkong,Guangdong China,0.4404,Positive,154,123,5,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,Guangzhouhk,Jiangsu China,0.4404,Positive,90,128,3.7,92.7
popular cheapest usb flash drives shell ,10,Jinxian technology Co. Ltd.,1,100 Pieces,5,20,Easy company,95,0,374,Guangzhouhk,Guangdong China,0.4404,Positive,93,128,3.7,92.7
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,SHANGHAI,Jiangxi China,0,Neutral,119,128,4.4,95.8
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,Hongkong,Guangdong China,0,Neutral,125,126,4.3,95.8
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,ShenZhen,Guangdong China,0,Neutral,154,123,5,95.8
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,Guangzhouhk,Guangdong China,0,Neutral,88,129,3.8,95.8
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,shenzhen,China,0,Neutral,154,123,5,95.8
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,Dalian,Guangdong China,0,Neutral,154,123,5,95.8
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,Shenzhen,Guangdong China,0,Neutral,106,127,4.2,95.8
Shenzhen OEM  logo credit card usb,20,Jinxian technology Co. Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,Shenzhen,Guangdong China,0,Neutral,93,130,3.8,95.8
Shenzhen OEM  logo credit card usb,20,Guangzhou technology Co.Ltd.,9,100 Pieces,5,81,Customer service,100,0,374,Guangzhouhk,Guangdong China,0,Neutral,154,123,5,95.8
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,374,ShenZhen,Guangdong China,0.5719,Positive,154,123,5,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,374,Guangzhouhk,China,0.5719,Positive,108,131,4.1,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,374,shenzhen,Guangdong China,0.5719,Positive,138,124,5,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,374,Shenzhen,Guangdong China,0.5719,Positive,90,130,3.8,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,374,FOB Shenzhen,China,0.5719,Positive,154,123,5,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,19,xiamen,Guangdong China,0.5719,Positive,103,135,4.2,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,19,Shenzhen or HK,China,0.5719,Positive,154,123,5,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,19,Shenzhen,Guangdong China,0.5719,Positive,93,133,3.9,96
 usb flash drive with ized logo,100,Jinxian technology Co. Ltd.,1,50 Pieces,4.9,28,Excellent company,75,0,19,Dalian,Guangdong China,0.5719,Positive,154,123,5,96
16GB 32GB 64GB 128GB Flash Drives,45,Xiair technology Co.Ltd,2,50 Pieces,4.9,60,Star service,95,0,19,shenzhen,Guangdong China,0,Neutral,115,138,4.6,93.8
16GB 32GB 64GB 129GB Flash Drives,45,Xiair technology Co.Ltd,2,50 Pieces,4.9,60,Star service,95,0,19,Dalian,Guangdong China,0,Neutral,95,131,3.8,93.8
16GB 32GB 64GB 130GB Flash Drives,45,Jinxian technology Co. Ltd.,2,50 Pieces,4.9,60,Star service,95,0,19,Hongkong,China,0,Neutral,90,138,4,93.8
16GB 32GB 64GB 131GB Flash Drives,45,Jinxian technology Co. Ltd.,2,50 Pieces,4.9,60,Star service,95,0,19,FOB Shenzhen,Guangdong China,0,Neutral,103,174,5,93.8
16GB 32GB 64GB 132GB Flash Drives,45,Jinxian technology Co. Ltd.,2,50 Pieces,4.9,60,Star service,95,0,19,shenzhen,China,0,Neutral,104,129,4.1,93.8
16GB 32GB 64GB 133GB Flash Drives,45,Jinxian technology Co. Ltd.,2,50 Pieces,4.9,60,Star service,95,0,19,Hongkong,China,0,Neutral,138,123,5,93.8
16GB 32GB 64GB 134GB Flash Drives,45,Jinxian technology Co. Ltd.,2,50 Pieces,4.9,60,Star service,95,0,19,Shenzhen,Guangdong China,0,Neutral,74,128,3.8,93.8
16GB 32GB 64GB 135GB Flash Drives,45,Jinxian technology Co. Ltd.,2,50 Pieces,4.9,60,Star service,95,0,19,FOB Shenzhen,Guangdong China,0,Neutral,103,135,4.2,93.8
16GB 32GB 64GB 136GB Flash Drives,45,Xiair technology Co.Ltd,2,50 Pieces,4.9,60,Star service,95,0,19,Guangzhou,Guangdong China,0,Neutral,145,129,4.9,93.8
 2A Micro USB Cable for samsung data cable ,15,Jinxian technology Co. Ltd.,6,100 Pieces,4.7,82,Good service,97,0,19,ShenzhenHK,Guangdong China,0.4404,Positive,172,130,4.8,81.4
 3A Micro USB Cable for samsung data cable ,15,Xiair technology Co.Ltd,6,100 Pieces,4.7,82,Good service,97,0,19,FOB SHENZHNE,Jiangxi China,0.4404,Positive,154,123,5,81.4
 4A Micro USB Cable for samsung data cable ,15,Jinxian technology Co. Ltd.,6,100 Pieces,4.7,82,Good service,97,0,19,Shenzhen,Guangdong China,0.4404,Positive,88,127,3.7,81.4
 5A Micro USB Cable for samsung data cable ,15,Xiair technology Co.Ltd,6,100 Pieces,4.7,82,Good service,97,0,19,Shenzhen,China,0.4404,Positive,103,132,4.1,81.4
 6A Micro USB Cable for samsung data cable ,15,Ningbo technology Co.Ltd,6,100 Pieces,4.7,82,Good service,97,0,19,Shenzhen,Guangdong China,0.4404,Positive,-7,128,3.6,81.4
 7A Micro USB Cable for samsung data cable ,15,Jinxian technology Co. Ltd.,6,100 Pieces,4.7,82,Good service,97,0,19,FOB Shenzhen,China,0.4404,Positive,154,123,5,81.4
 8A Micro USB Cable for samsung data cable ,15,Jinxian technology Co. Ltd.,6,100 Pieces,4.7,82,Good service,97,0,19,Shenzhen,Guangdong China,0.4404,Positive,154,123,5,81.4
 9A Micro USB Cable for samsung data cable ,15,Jinxian technology Co. Ltd.,6,100 Pieces,4.7,82,Good service,97,0,19,Shenzhen HK,Jiangxi China,0.4404,Positive,154,123,5,81.4
 10A Micro USB Cable for samsung data cable ,15,Jinxian technology Co. Ltd.,6,100 Pieces,4.7,82,Good service,97,0,19,FOB SHENZHNE,Guangdong China,0.4404,Positive,459,176,5,81.4
 OTG 2.0 USB Flash Drive,175,Jinxian technology Co. Ltd.,3,2 Pieces,4.8,388,Fast shipping,0,45,19,shanghai,Jiangsu China,0,Neutral,138,124,4.6,92.6
Android tablet 10 inch quad core ,245,Xiair technology Co.Ltd,5,1 Piece,4.6,49,Top seller,92,0,19,shanghai,Guangdong China,0.2023,Positive,154,123,5,85.7
 1GB 17 GB hot android pc tablet cheap  call tablet phablet,245,Jinxian technology Co. Ltd.,5,1 Piece,4.6,49,Top seller,92,0,19,xiamen,Jiangxi China,0.2023,Positive,103,171,5,85.7
 1GB 18 GB hot android pc tablet cheap  call tablet phablet,245,Jinxian technology Co. Ltd.,5,1 Piece,4.6,49,Top seller,92,0,19,Shenzhen,Guangdong China,0.2023,Positive,134,127,4.8,85.7
